query_idx,target_idx,rank,dist,set_size,filter,query_addr,target_addr
65214,125177,1,3.163818836212158,473741,none,0x004537fcd9095489ebe38180a382341b962b501d,0xccd9c5465fac5c0df86fd9b7d524a5949defcef6
125177,65214,1,3.163818836212158,473741,none,0xccd9c5465fac5c0df86fd9b7d524a5949defcef6,0x004537fcd9095489ebe38180a382341b962b501d
138400,208327,887,6.745415687561035,473741,none,0xe10824fd1ffb9951215025eb26cda42d2d8d9c4c,0xd1898665a01a91ac10bd2c6cb1899336df34ac33
208327,138400,1020,6.745415687561035,473741,none,0xd1898665a01a91ac10bd2c6cb1899336df34ac33,0xe10824fd1ffb9951215025eb26cda42d2d8d9c4c
221794,221821,13,4.428941249847412,473741,none,0x089e67c9dabb370c1c7be7c7a3fbd3d65a733c57,0x58e11792d0637540ab1f430e4659693659ea2734
221821,221794,10,4.428941249847412,473741,none,0x58e11792d0637540ab1f430e4659693659ea2734,0x089e67c9dabb370c1c7be7c7a3fbd3d65a733c57
233394,218665,7,4.994878768920898,473741,none,0x9e89364eb4ed43f5f5f5a573656dbf6e2e0acaaa,0x52ab58c10e9187a79da50f892ea4801aad58cb00
218665,233394,9,4.994878768920898,473741,none,0x52ab58c10e9187a79da50f892ea4801aad58cb00,0x9e89364eb4ed43f5f5f5a573656dbf6e2e0acaaa
27433,25236,3,3.517164468765259,473741,none,0xdb6cdd1d58a021a728b7a9f0cb1bd0826aa2f408,0x7355499ae56ed37c91452ca245327a49cf94bd4c
25236,27433,4,3.517164468765259,473741,none,0x7355499ae56ed37c91452ca245327a49cf94bd4c,0xdb6cdd1d58a021a728b7a9f0cb1bd0826aa2f408
14179,1077,16,5.40167760848999,473741,none,0x15ba57258b948cfda369ddc88247196b07bfcee4,0x01a45f7fbf7453092e49b6db137568f9cfab8ead
1077,14179,90,5.40167760848999,473741,none,0x01a45f7fbf7453092e49b6db137568f9cfab8ead,0x15ba57258b948cfda369ddc88247196b07bfcee4
1280,118044,1422,6.091989994049072,473741,none,0x80c013d980ab049471c88e1603b8b4a60e03295c,0x6499dc30d6178413e3812e35af0b5b8116966041
118044,1280,403,6.091989994049072,473741,none,0x6499dc30d6178413e3812e35af0b5b8116966041,0x80c013d980ab049471c88e1603b8b4a60e03295c
36624,1417,6,3.562812328338623,473741,none,0x830e9c7ecb62f299c3fe7ddfc8fba2a2a99bd6a8,0xcbf177a8487b4fcdb9014c64b9b51a1af83cc05d
1417,36624,7,3.562812328338623,473741,none,0xcbf177a8487b4fcdb9014c64b9b51a1af83cc05d,0x830e9c7ecb62f299c3fe7ddfc8fba2a2a99bd6a8
123430,12676,18481,8.951261520385742,473741,none,0x1e17a75616cd74f5846b1b71622aa8e10ea26cc0,0x8c6f3b2b0125eee01f552fef11c5615c2dda20ce
12676,123430,103658,8.951261520385742,473741,none,0x8c6f3b2b0125eee01f552fef11c5615c2dda20ce,0x1e17a75616cd74f5846b1b71622aa8e10ea26cc0
287800,2139,262,4.927886486053467,473741,none,0xbd172f38c1bc677a238f1a2c05746ca8a3101279,0x31efd75bc0b5fbafc6015bd50590f4fdab6a3f22
2139,287800,136,4.927886486053467,473741,none,0x31efd75bc0b5fbafc6015bd50590f4fdab6a3f22,0xbd172f38c1bc677a238f1a2c05746ca8a3101279
19810,9494,491,6.6376848220825195,473741,none,0x68d36dcbdd7bbf206e27134f28103abe7cf972df,0xc291e1faf5de86538edc5be9702e276c84755b9f
9494,19810,597,6.6376848220825195,473741,none,0xc291e1faf5de86538edc5be9702e276c84755b9f,0x68d36dcbdd7bbf206e27134f28103abe7cf972df
173135,173140,102,4.2793097496032715,473741,none,0xd172310d419f145574f1eac455e65674ec97ad95,0xc209cc607c81ca7d8c0bfca7bfd6144c74a7e238
173140,173135,39,4.2793097496032715,473741,none,0xc209cc607c81ca7d8c0bfca7bfd6144c74a7e238,0xd172310d419f145574f1eac455e65674ec97ad95
216884,8831,1019,6.049129009246826,473741,none,0x300fd0106bb51891b005d778807856b3bfd3fb06,0x03d7326f53715d4a042bd1fa12669eb420e87b5b
8831,216884,1015,6.049129009246826,473741,none,0x03d7326f53715d4a042bd1fa12669eb420e87b5b,0x300fd0106bb51891b005d778807856b3bfd3fb06
178576,10535,70,4.481853485107422,473741,none,0xc967dedcf086b7fe1eab492f2eb2b74f1e5947b8,0x76273dcc41356e5f0c49bb68e525175dc7e83417
10535,178576,130,4.481853485107422,473741,none,0x76273dcc41356e5f0c49bb68e525175dc7e83417,0xc967dedcf086b7fe1eab492f2eb2b74f1e5947b8
157833,3219,45847,8.839290618896484,473741,none,0x7977c0df0311d7288d60f8f646f294f70ffaa5f4,0x006a8a496889e9983a5256f34b608ee9569ba319
3219,157833,20709,8.839290618896484,473741,none,0x006a8a496889e9983a5256f34b608ee9569ba319,0x7977c0df0311d7288d60f8f646f294f70ffaa5f4
127583,9474,16417,7.834275245666504,473741,none,0x0ce71fbb81920c79561ba0b0aaf0f730b459ad2e,0xdba990799a400416b93f3e242cb3cc175ce00ca2
9474,127583,29710,7.834275245666504,473741,none,0xdba990799a400416b93f3e242cb3cc175ce00ca2,0x0ce71fbb81920c79561ba0b0aaf0f730b459ad2e
239134,224914,18,4.0936970710754395,473741,none,0xa062cdd195357112f1ac8aa7648b243d3bb2ee99,0xa6e0077b33d80bf3eb64cfdf8ec7d023cdd9c62f
